example_id                                                             | status  | run_time        |
./spec/controllers/user_sessions_controller_spec.rb[1:1:1:2:1]         | passed  | 0.01495 seconds |
./spec/controllers/user_sessions_controller_spec.rb[1:1:1:3:1]         | passed  | 0.01353 seconds |
./spec/controllers/user_sessions_controller_spec.rb[1:1:2:1:1]         | passed  | 0.01156 seconds |
./spec/controllers/user_sessions_controller_spec.rb[1:1:2:2:1]         | passed  | 0.00844 seconds |
./spec/controllers/user_sessions_controller_spec.rb[1:2:1]             | passed  | 0.00331 seconds |
./spec/controllers/users_controller_spec.rb[1:1:1]                     | passed  | 0.01239 seconds |
./spec/controllers/users_controller_spec.rb[1:2:1]                     | passed  | 0.19149 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:1:1]                 | passed  | 0.01102 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:1:2]                 | passed  | 0.01095 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:1:3]                 | passed  | 0.01953 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:2:1]                 | passed  | 0.01695 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:3:1:1]               | passed  | 0.04206 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:3:2:1]               | passed  | 0.02111 seconds |
./spec/controllers/users_controller_spec.rb[1:3:2]                     | passed  | 0.06439 seconds |
./spec/helpers/checkout_helper_spec.rb[1:1:1]                          | passed  | 0.00299 seconds |
./spec/helpers/checkout_helper_spec.rb[1:1:2]                          | passed  | 0.00345 seconds |
./spec/helpers/order_helper_spec.rb[1:1]                               | passed  | 0.00428 seconds |
./spec/helpers/spree/base_helper_spec.rb[1:1]                          | passed  | 0.01825 seconds |
./spec/helpers/taxon_filters_helper_spec.rb[1:1]                       | passed  | 0.05148 seconds |
./spec/helpers/taxons_helper_spec.rb[1:1:1]                            | passed  | 0.04913 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:1:1:1]                          | passed  | 0.01205 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:1:1:2]                          | passed  | 0.0136 seconds  |
./spec/mailers/user_mailer_spec.rb[1:1:1:2:1]                          | passed  | 0.01211 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:2:1]                            | passed  | 0.0115 seconds  |
./spec/requests/cart_line_items_ability_spec.rb[1:1:1:1]               | passed  | 0.358 seconds   |
./spec/requests/cart_line_items_spec.rb[1:1:1]                         | passed  | 0.13346 seconds |
./spec/requests/cart_line_items_spec.rb[1:1:2:1]                       | passed  | 0.06783 seconds |
./spec/requests/cart_line_items_spec.rb[1:1:2:2:1]                     | passed  | 0.04897 seconds |
./spec/requests/cart_line_items_spec.rb[1:1:2:3:1]                     | passed  | 0.06306 seconds |
./spec/requests/cart_line_items_spec.rb[1:1:2:4:1]                     | passed  | 0.06058 seconds |
./spec/requests/carts_ability_spec.rb[1:1:1:1]                         | passed  | 0.02075 seconds |
./spec/requests/carts_ability_spec.rb[1:1:2:1]                         | passed  | 0.02852 seconds |
./spec/requests/carts_ability_spec.rb[1:1:3:1]                         | passed  | 0.01808 seconds |
./spec/requests/carts_spec.rb[1:1:1:1]                                 | passed  | 0.02606 seconds |
./spec/requests/carts_spec.rb[1:1:2:1]                                 | passed  | 0.02499 seconds |
./spec/requests/carts_spec.rb[1:2:1:1]                                 | passed  | 0.11303 seconds |
./spec/requests/carts_spec.rb[1:2:1:2]                                 | passed  | 0.08445 seconds |
./spec/requests/carts_spec.rb[1:2:1:3]                                 | passed  | 0.09415 seconds |
./spec/requests/carts_spec.rb[1:3:1]                                   | passed  | 0.07772 seconds |
./spec/requests/carts_spec.rb[1:4:1]                                   | passed  | 0.1784 seconds  |
./spec/requests/checkout_with_views_spec.rb[1:1:1:1]                   | passed  | 0.1839 seconds  |
./spec/requests/checkouts_spec.rb[1:1:1]                               | passed  | 0.10108 seconds |
./spec/requests/checkouts_spec.rb[1:1:2]                               | passed  | 0.07285 seconds |
./spec/requests/checkouts_spec.rb[1:1:3]                               | passed  | 0.07282 seconds |
./spec/requests/checkouts_spec.rb[1:1:4]                               | passed  | 0.06768 seconds |
./spec/requests/checkouts_spec.rb[1:1:5]                               | passed  | 0.07479 seconds |
./spec/requests/checkouts_spec.rb[1:2:1]                               | passed  | 0.14601 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:1:1]                           | passed  | 0.10959 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:1:2]                           | passed  | 0.11531 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:1:3]                           | passed  | 0.11185 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:1:4:1]                         | passed  | 0.1355 seconds  |
./spec/requests/checkouts_spec.rb[1:2:2:2:1:1]                         | passed  | 0.12283 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:2:2:1]                         | passed  | 0.11482 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:2:2:2]                         | passed  | 0.14526 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:3:1]                           | passed  | 0.11499 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:4:1:1]                         | passed  | 0.09352 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:4:2:1]                         | passed  | 0.0928 seconds  |
./spec/requests/checkouts_spec.rb[1:2:2:4:3:1]                         | passed  | 0.0988 seconds  |
./spec/requests/checkouts_spec.rb[1:2:2:5:1]                           | passed  | 0.22763 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:5:2]                           | passed  | 0.16038 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:5:3]                           | passed  | 0.33716 seconds |
./spec/requests/checkouts_spec.rb[1:2:3:1]                             | passed  | 0.10665 seconds |
./spec/requests/checkouts_spec.rb[1:2:3:2]                             | passed  | 0.0849 seconds  |
./spec/requests/checkouts_spec.rb[1:2:4:1]                             | passed  | 0.07101 seconds |
./spec/requests/checkouts_spec.rb[1:2:5:1]                             | passed  | 0.15887 seconds |
./spec/requests/checkouts_spec.rb[1:2:6:1:1]                           | passed  | 0.08597 seconds |
./spec/requests/checkouts_spec.rb[1:2:6:2:1]                           | passed  | 0.13098 seconds |
./spec/requests/checkouts_spec.rb[1:2:7:1]                             | passed  | 0.10068 seconds |
./spec/requests/checkouts_spec.rb[1:2:8:1:1]                           | passed  | 0.08114 seconds |
./spec/requests/checkouts_spec.rb[1:2:8:2:1:1]                         | passed  | 0.09243 seconds |
./spec/requests/checkouts_spec.rb[1:3:1:1]                             | passed  | 0.0753 seconds  |
./spec/requests/checkouts_spec.rb[1:3:1:2]                             | passed  | 0.08162 seconds |
./spec/requests/checkouts_spec.rb[1:4:1]                               | passed  | 0.10363 seconds |
./spec/requests/checkouts_spec.rb[1:4:2]                               | passed  | 0.07072 seconds |
./spec/requests/checkouts_spec.rb[1:5:1]                               | passed  | 0.09884 seconds |
./spec/requests/current_order_tracking_spec.rb[1:1]                    | passed  | 0.11482 seconds |
./spec/requests/current_order_tracking_spec.rb[1:2:1]                  | passed  | 0.1287 seconds  |
./spec/requests/home_spec.rb[1:1]                                      | passed  | 0.02925 seconds |
./spec/requests/home_spec.rb[1:2:1]                                    | passed  | 0.02 seconds    |
./spec/requests/locale_spec.rb[1:1:1:1]                                | passed  | 0.05588 seconds |
./spec/requests/locale_spec.rb[1:1:2:1]                                | passed  | 0.05968 seconds |
./spec/requests/locale_spec.rb[1:2:1:1]                                | passed  | 0.07891 seconds |
./spec/requests/locale_spec.rb[1:2:2:1]                                | passed  | 0.06947 seconds |
./spec/requests/locale_spec.rb[1:3:1]                                  | passed  | 0.00903 seconds |
./spec/requests/orders_ability_spec.rb[1:1]                            | passed  | 0.00508 seconds |
./spec/requests/orders_ability_spec.rb[1:2:1:1]                        | passed  | 0.02333 seconds |
./spec/requests/orders_ability_spec.rb[1:3:1:1:1]                      | passed  | 0.04751 seconds |
./spec/requests/orders_ability_spec.rb[1:3:1:1:2]                      | passed  | 0.03196 seconds |
./spec/requests/orders_ability_spec.rb[1:3:1:2:1]                      | passed  | 0.01793 seconds |
./spec/requests/products_spec.rb[1:1:1]                                | passed  | 0.03645 seconds |
./spec/requests/products_spec.rb[1:1:2]                                | passed  | 0.04484 seconds |
./spec/requests/products_spec.rb[1:2:1]                                | passed  | 0.06578 seconds |
./spec/requests/products_spec.rb[1:2:2]                                | passed  | 0.05295 seconds |
